"","Overall-Rank","Criteria.Ca-Rank","Criteria.Cb-Rank","Criteria.Cc-Rank","Criteria.Cd-Rank","Criteria.Ca-Value","Criteria.Cb-Value","Criteria.Cc-Value","Criteria.Cd-Value"
"HAM+CUT+SUM+LEV",1,164,1,50,1,0.0076,1,0.7208,1
"HAM+LOG+MST+NON",2,78,1,140,1,3e-04,1,0.6167,1
"HAM+LOG+MST+PAR",3,166,1,139,1,0.0079,1,0.6167,1
"HAM+LOG+SUM+RAN",4,298,1,13,1,0.0344,1,0.75,1
"KNN+LOG+MST+NON",5,85,1,232,1,0.0012,1,0.5667,1
"HAM+CUT+SUM+RAN",6,305,1,51,1,0.0365,1,0.7208,1
"HAM+LOG+SUM+LEV",7,366,1,13,1,0.0488,1,0.75,1
"MDI+LOG+POW+EIG",8,288,1,115,1,0.0319,1,0.6476,1
"KNN+LOG+MST+PAR",9,211,1,228,1,0.0176,1,0.5667,1
"MDI+CUT+LIW+POW",10,210,1,272,1,0.0167,1,0.5417,1
"KNN+CUT+POW+PQN",11,245,1,255,1,0.0238,1,0.55,1
"MEI+NON+EIG+POW",12,315,1,204,1,0.0398,1,0.5708,1
"HAM+LOG+SUM+AUT",13,514,1,13,1,0.0884,1,0.75,1
"MEI+NON+RAN+EIG",14,425,1,119,1,0.0667,1,0.6375,1
"KNN+CUT+MST+NON",15,71,1,480,1,0,1,0.4833,1
"KNN+CUT+QUA+POW",16,234,1,337,1,0.0222,1,0.5208,1
"KNN+CUT+CUB+POW",17,193,1,388,1,0.0152,1,0.5167,1
"HAM+CUT+SUM+AUT",18,552,1,51,1,0.0948,1,0.7208,1
"KNN+CUT+MST+PAR",19,139,1,471,1,0.0025,1,0.4833,1
"MEI+CUT+QUA+POW",20,205,1,408,1,0.0159,1,0.5,1
"KNN+CUT+CUB+LEV",21,251,1,365,1,0.027,1,0.5167,1
"KNN+LOG+CON+POW",22,433,1,195,1,0.0725,1,0.5792,1
"HAM+CUT+LIW+LEV",23,398,1,233,1,0.0601,1,0.5625,1
"MEI+CUT+EIG+RAN",24,525,1,107,1,0.0902,1,0.65,1
"MEI+LOG+POW+EIG",25,365,1,267,1,0.0484,1,0.5469,1
"KNN+NON+MST+POW",26,118,1,516,1,0.0017,1,0.4792,1
"MEI+CUT+CUB+POW",27,176,1,472,1,0.0105,1,0.4833,1
"KNN+CUT+QUA+LEV",28,313,1,337,1,0.0392,1,0.5208,1
"HAM+LOG+LIW+RAN",29,422,1,233,1,0.0666,1,0.5625,1
"HAM+CUT+LIW+RAN",30,428,1,233,1,0.0671,1,0.5625,1
"MEI+CUT+CUB+LEV",31,224,1,438,1,0.0208,1,0.4917,1
"KNN+NON+CON+RAN",32,497,1,177,1,0.0865,1,0.5917,1
"MEI+CUT+QUA+NON",33,286,1,393,1,0.0316,1,0.5125,1
"MEI+CUT+QUA+LEV",34,287,1,393,1,0.0317,1,0.5125,1
"MEI+CUT+CUB+NON",35,225,1,456,1,0.021,1,0.4917,1
"KNN+CUT+CUB+NON",36,300,1,388,1,0.0354,1,0.5167,1
"KNN+CUT+PAR+EIG",37,456,1,254,1,0.0815,1,0.5542,1
"KNN+CUT+QUA+NON",38,376,1,337,1,0.0513,1,0.5208,1
"KNN+CUT+MST+POW",39,81,1,632,1,5e-04,1,0.4417,1
"MEI+NON+CUB+POW",40,289,1,426,1,0.032,1,0.4958,1
"MEI+CUT+RAN+EIG",41,426,1,305,1,0.067,1,0.5333,1
"KNN+CUT+SUM+LEV",42,170,495,87,1,0.0089,0.9444,0.675,1
"MDI+CUT+CUB+POW",43,173,1,588,1,0.0099,1,0.4542,1
"MDI+CUT+QUA+POW",44,201,1,570,1,0.0156,1,0.4583,1
"KNN+CUT+LIN+LEV",45,310,1,472,1,0.0376,1,0.4833,1
"KNN+CUT+MST+LEV",46,310,1,472,1,0.0376,1,0.4833,1
"MDI+NON+SUM+LEV",47,186,545,70,1,0.0127,0.8333,0.7042,1
"HAM+CUT+RAN+LIW",48,491,1,310,1,0.0862,1,0.5292,1
"MEI+NON+CUB+LEV",49,397,1,408,1,0.0599,1,0.5,1
"MEI+CUT+VSN",50,77,1,735,1,2e-04,1,0.4042,1
"MEI+NON+SUM+LEV",51,184,545,86,1,0.0125,0.8333,0.6792,1
"KNN+LOG+LIN+RAN",52,586,1,228,1,0.0983,1,0.5667,1
"KNN+LOG+MST+RAN",53,586,1,228,1,0.0983,1,0.5667,1
"HAM+NON+SUM+LEV",54,255,542,30,1,0.0296,0.8889,0.7333,1
"HAM+CUT+LIW+PAR",55,600,1,233,1,0.0993,1,0.5625,1
"KNN+CUT+LIN+NON",56,361,1,472,1,0.0474,1,0.4833,1
"MEI+NON+CUB+NON",57,432,1,408,1,0.0711,1,0.5,1
"HAM+CUT+PAR+LIW",58,568,1,272,1,0.0969,1,0.5417,1
"HAM+LOG+SUM+VAS",59,839,1,13,1,0.1601,1,0.75,1
"KNN+NON+CUB+LEV",60,465,1,388,1,0.0838,1,0.5167,1
"MDI+NON+CUB+POW",61,266,1,589,1,0.0304,1,0.45,1
"MDI+CUT+QUA+NON",62,272,1,584,1,0.0308,1,0.4542,1
"MDI+CUT+CUB+NON",63,214,1,643,1,0.0197,1,0.4292,1
"KNN+CUT+LIN+POW",64,227,1,631,1,0.0212,1,0.4417,1
"MDI+CUT+QUA+LEV",65,282,1,584,1,0.0311,1,0.4542,1
